http://58.69.143.223:41890,PH,Unknown
http://209.146.18.132:5050,PH,Unknown
http://122.3.121.231:8082,PH,Unknown
http://126.209.18.46:8082,PH,Unknown
http://203.177.220.122:8080,PH,Unknown
http://120.28.195.91:8082,PH,Unknown
http://8.212.177.126:8080,PH,Unknown
http://119.92.70.182:8181,PH,Unknown
http://122.2.48.121:8080,PH,Unknown
http://119.93.198.210:8082,PH,Unknown
http://112.198.146.94:8082,PH,Unknown
http://112.209.38.19:8082,PH,Unknown
http://180.190.243.74:8082,PH,Unknown
http://8.220.188.140:8080,PH,Unknown
http://8.220.188.140:443,PH,Unknown
http://8.220.149.222:8080,PH,Unknown
http://72.10.164.178:17211,PH,Unknown
http://122.52.107.138:8082,PH,Angeles City
