http://148.233.136.213:443,MX,Unknown
http://201.140.185.41:443,MX,Unknown
http://38.194.246.34:999,MX,Unknown
http://45.174.77.224:999,MX,Unknown
http://45.188.125.49:999,MX,Unknown
http://38.65.174.107:999,MX,Unknown
http://200.71.111.90:999,MX,Unknown
http://45.188.108.12:8080,MX,Unknown
http://38.210.179.77:999,MX,Unknown
http://45.177.178.242:999,MX,Unknown
http://45.190.78.47:999,MX,Unknown
http://205.164.192.115:999,MX,Unknown
http://45.190.76.18:999,MX,Unknown
http://186.96.15.70:8080,MX,Unknown
http://45.174.56.21:999,MX,Unknown
http://177.241.119.191:8080,MX,Unknown
http://189.202.188.149:80,MX,Kanas?n
